data,confirmados,obitos,recuperados,ativo
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,2,0,0,2
2020-03-01,2,0,0,2
2020-03-02,2,0,0,2
2020-03-03,2,0,0,2
2020-03-04,4,0,0,4
2020-03-05,4,0,0,4
2020-03-06,13,0,0,13
2020-03-07,13,0,0,13
2020-03-08,20,0,0,20
2020-03-09,25,0,0,25
2020-03-10,31,0,0,31
2020-03-11,38,0,0,38
2020-03-12,52,0,0,52
2020-03-13,151,0,0,151
2020-03-14,151,0,0,151
2020-03-15,162,0,0,162
2020-03-16,200,0,1,199
2020-03-17,321,1,2,318
2020-03-18,372,3,2,367
2020-03-19,621,6,2,613
2020-03-20,793,11,2,780
2020-03-21,1021,15,2,1004
2020-03-22,1546,25,2,1519
2020-03-23,1924,34,2,1888
2020-03-24,2247,46,2,2199
2020-03-25,2554,59,2,2493
2020-03-26,2985,77,6,2902
2020-03-27,3417,92,6,3319
2020-03-28,3904,111,6,3787
2020-03-29,4256,136,6,4114
2020-03-30,4579,159,120,4300
2020-03-31,5717,201,127,5389
2020-04-01,6836,240,127,6469
2020-04-02,8044,324,127,7593
2020-04-03,9056,359,127,8570
2020-04-04,10360,445,127,9788
2020-04-05,11130,486,127,10517
2020-04-06,12161,564,127,11470
2020-04-07,14034,686,127,13221
2020-04-08,16170,819,127,15224
2020-04-09,18092,950,173,16969
2020-04-10,19638,1057,173,18408
2020-04-11,20727,1124,173,19430
2020-04-12,22192,1223,173,20796
2020-04-13,23430,1328,173,21929
2020-04-14,25262,1532,3046,20684
2020-04-15,28320,1736,14026,12558
2020-04-16,30425,1924,14026,14475
2020-04-17,33682,2141,14026,17515
2020-04-18,36658,2354,14026,20278
2020-04-19,38654,2462,22130,14062
2020-04-20,40743,2587,22130,16026
2020-04-21,43079,2741,22991,17347
2020-04-22,45757,2906,25318,17533
2020-04-23,50036,3331,26573,20132
2020-04-24,54043,3704,27655,22684
2020-04-25,59324,4057,29160,26107
2020-04-26,63100,4286,30152,28662
2020-04-27,67446,4603,31142,31701
2020-04-28,73235,5083,32544,35608
2020-04-29,79685,5513,34132,40040
2020-04-30,87187,6006,35935,45246
2020-05-01,92202,6412,38039,47751
2020-05-02,97100,6761,40937,49402
2020-05-03,101826,7051,42991,51784
2020-05-04,108620,7367,45815,55438
2020-05-05,115455,7938,48221,59296
2020-05-06,126611,8588,51370,66653
2020-05-07,135773,9190,55350,71233
2020-05-08,146894,10017,59297,77580
2020-05-09,156061,10656,61685,83720
2020-05-10,162699,11123,64957,86619
2020-05-11,169594,11653,67384,90557
2020-05-12,178214,12461,72597,93156
2020-05-13,190137,13240,78424,98473
2020-05-14,203165,13999,79479,109687
2020-05-15,220291,14962,84970,120359
2020-05-16,233511,15662,89672,128177
2020-05-17,241080,16118,94122,130840
2020-05-18,255368,16853,100459,138056
2020-05-19,271885,17983,106794,147108
2020-05-20,291579,18859,116683,156037
2020-05-21,310087,20047,125960,164080
2020-05-22,330890,21048,135430,174412
2020-05-23,347398,22013,142587,182798
2020-05-24,363211,22666,149911,190634
2020-05-25,374898,23473,153833,197592
2020-05-26,391222,24512,158593,208117
2020-05-27,411821,25598,166647,219576
2020-05-28,438238,26754,177604,233880
2020-05-29,465166,27878,189476,247812
2020-05-30,498440,28834,200892,268714
2020-05-31,514849,29314,206555,278980
2020-06-01,526447,29937,211080,285430
2020-06-02,555383,31199,223638,300546
2020-06-03,584016,32548,238617,312851
2020-06-04,614941,34021,254963,325957
2020-06-05,645771,35026,266940,343805
2020-06-06,672846,35930,277149,359767
2020-06-07,691758,36455,283952,371351
2020-06-08,707412,37134,378257,292021
2020-06-09,739503,38406,396737,304360
2020-06-10,772416,39680,413916,318820
2020-06-11,802828,40919,429965,331944
2020-06-12,828810,41828,445123,341859
2020-06-13,850514,42720,459436,348358
2020-06-14,867624,43332,469141,355151
2020-06-15,888271,43959,477709,366603
2020-06-16,923189,45241,490005,387943
2020-06-17,955377,46510,521046,387821
2020-06-18,978142,47748,534580,395814
2020-06-19,1032913,48954,551631,432328
2020-06-20,1067579,49976,576779,440824
2020-06-21,1083341,50591,588118,444632
2020-06-22,1106470,51271,601736,453463
2020-06-23,1145906,52645,627963,465298
2020-06-24,1188631,53830,660469,474332
2020-06-25,1228114,54971,679524,493619
2020-06-26,1274974,55961,702399,516614
2020-06-27,1313667,57070,727715,528882
2020-06-28,1344143,57622,746018,540503
2020-06-29,1368195,58314,757811,552070
2020-06-30,1402041,59594,788318,554129
2020-07-01,1448753,60632,817642,570479
2020-07-02,1496858,61884,957692,477282
2020-07-03,1539081,63174,984615,491292
2020-07-04,1577004,64265,990731,522008
2020-07-05,1603055,64867,1029045,509143
2020-07-06,1623284,65487,1062542,495255
2020-07-07,1668589,66741,1107012,494836
2020-07-08,1713160,67964,1139844,505352
2020-07-09,1755779,69184,1171447,515148
2020-07-10,1800827,70398,1217361,513068
2020-07-11,1839850,71469,1244088,524293
2020-07-12,1864681,72100,1264843,527738
2020-07-13,1884967,72833,1291251,520883
2020-07-14,1926824,74133,1323425,529266
2020-07-15,1966748,75366,1350098,541284
2020-07-16,2012151,76688,1397531,537932
2020-07-17,2046328,77851,1428520,539957
2020-07-18,2074860,78772,1447408,548680
2020-07-19,2098389,79488,1459072,559829
2020-07-20,2118646,80120,1514300,524226
2020-07-21,2159654,81487,1555339,522828
2020-07-22,2227514,82771,1591975,552768
2020-07-23,2287475,84082,1620313,583080
2020-07-24,2343366,85238,1693214,564914
2020-07-25,2394513,86449,1785359,522705
2020-07-26,2419091,87004,1812913,519174
2020-07-27,2442375,87618,1846641,508116
2020-07-28,2483191,88539,1868749,525903
2020-07-29,2552265,90134,1922802,539329
2020-07-30,2610102,91263,1956807,562032
2020-07-31,2662485,92475,2008854,561156
2020-08-01,2707877,93563,2037982,576332
2020-08-02,2733677,94104,2062876,576697
2020-08-03,2750318,94665,2098976,556677
2020-08-04,2801921,95819,2157484,548618
2020-08-05,2859073,97256,2190361,571456
2020-08-06,2912212,98493,2230542,583177
2020-08-07,2962442,99572,2272299,590571
2020-08-08,3012412,100477,2321537,590398
2020-08-09,3035422,101049,2356983,577390
2020-08-10,3057470,101752,2390830,564888
2020-08-11,3109630,103026,2449338,557266
2020-08-12,3164785,104201,2506228,554356
2020-08-13,3224876,105463,2521100,598313
2020-08-14,3275520,106523,2616981,552016
2020-08-15,3317096,107232,2622878,586986
2020-08-16,3340197,107852,2655017,577328
2020-08-17,3359570,108536,2699080,551954
2020-08-18,3407354,109888,2751246,546220
2020-08-19,3456652,111100,2801931,543621
2020-08-20,3501975,112304,2844318,545353
2020-08-21,3532330,113358,2855558,563414
2020-08-22,3582362,114250,2913966,554146
2020-08-23,3605783,114744,2947784,543255
2020-08-24,3622861,115309,2976256,531296
2020-08-25,3669995,116580,3032551,520864
2020-08-26,3717156,117665,3082447,517044
2020-08-27,3761391,118649,3122846,519896
2020-08-28,3804803,119504,3158783,526516
2020-08-29,3846153,120262,3202185,523706
2020-08-30,3862311,120828,3237615,503868
2020-08-31,3908272,121381,3268591,518300
2020-09-01,3950931,122596,3345240,483095
2020-09-02,3997865,123780,3387309,486776
2020-09-03,4041638,124614,3429435,487589
2020-09-04,4091801,125502,3464278,502021
2020-09-05,4123000,126203,3498999,497798
2020-09-06,4137521,126650,3522155,488716
2020-09-07,4147794,126960,3549201,471633
2020-09-08,4162073,127464,3572421,462188
2020-09-09,4197889,128539,3611632,457718
2020-09-10,4238446,129522,3657701,451223
2020-09-11,4282164,130396,3695158,456610
2020-09-12,4315687,131210,3723206,461271
2020-09-13,4330455,131625,3723206,475624
2020-09-14,4345610,132006,3770138,443466
2020-09-15,4382263,133119,3811505,437639
2020-09-16,4419083,134106,3845464,439513
2020-09-17,4455386,134935,3873934,446517
2020-09-18,4495183,135793,3897539,461851
2020-09-19,4528240,136532,3936893,454815
2020-09-20,4544629,136895,3963446,444288
2020-09-21,4558040,137272,3993432,427336
2020-09-22,4591364,138105,4016831,436428
2020-09-23,4591364,138105,4046827,406432
2020-09-24,4657702,139808,4102954,414940
2020-09-25,4689613,140537,4128490,420586
2020-09-26,4717991,141406,4153307,423278
2020-09-27,4732309,141741,4172711,417857
2020-09-28,4745464,142058,4197372,406034
2020-09-29,4777522,142921,4237152,397449
2020-09-30,4810935,143952,4274774,392209
2020-10-01,4847092,144680,4299659,402753
2020-10-02,4847092,144680,4299659,402753
2020-10-03,4906833,145987,4361108,399738
2020-10-04,4915289,146352,4375354,393583
2020-10-05,4927235,146675,4397882,382678
2020-10-06,4969141,147494,4430340,391307
2020-10-07,5000694,148228,4457172,395294
2020-10-08,5028444,148957,4488092,391395
2020-10-09,5055888,149639,4502854,403395
2020-10-10,5082637,150198,4502854,429585
2020-10-11,5094979,150488,4526393,418098
2020-10-12,5103408,150689,4526393,426326
2020-10-13,5113628,150998,4526393,436237
2020-10-14,5140863,151747,4526393,462723
2020-10-15,5169386,152460,4526393,490533
2020-10-16,5200300,153214,4526393,520693
2020-10-17,5224362,153675,4526393,544294
2020-10-18,5224362,153675,4526393,544294
2020-10-19,5250727,154176,4526393,570158
2020-10-20,5273954,154837,4526393,592724
2020-10-21,5298772,155403,4526393,616976
2020-10-22,5323630,155900,4526393,641337
2020-10-23,5353656,156471,4526393,670792
2020-10-24,5380635,156903,4526393,697339
2020-10-25,5394128,157134,4526393,710601
2020-10-26,5409854,157397,4526393,726064
2020-10-27,5439641,157946,4914733,366962
2020-10-28,5468270,158456,4947777,362037
2020-10-29,5494376,158969,4962574,372833
2020-10-30,5516658,159477,4987435,369746
2020-10-31,5535605,159884,5005161,370560
2020-11-01,5545705,160074,5022338,363293
2020-11-02,5554206,160253,5039438,354515
2020-11-03,5566049,160496,5060697,344856
2020-11-04,5590025,161106,5078162,350757
2020-11-05,5590025,161106,5078162,350757
2020-11-06,5631181,162015,5118156,351010
2020-11-07,5653561,162269,5138641,352651
2020-11-08,5664115,162397,5147172,354546
2020-11-09,5675032,162628,5163226,349178
2020-11-10,5699005,162802,5183970,352233
2020-11-11,5747660,163368,5222937,361355
2020-11-12,5781582,164281,5254457,362844
2020-11-13,5810652,164737,5274812,371103
2020-11-14,5848959,165658,5279452,403849
2020-11-15,5863093,165798,5279452,417843
2020-11-16,5876464,166014,5335498,374952
2020-11-17,5911758,166699,5358299,386760
2020-11-18,5945849,167455,5383385,395009
2020-11-19,5981767,168061,5406066,407640
2020-11-20,6020164,168613,5430896,420655
2020-11-21,6052786,168989,5437189,446608
2020-11-22,6071401,169183,5457973,444245
2020-11-23,6087608,169485,5481184,436939
2020-11-24,6118708,170115,5509645,438948
2020-11-25,6166606,170769,5534010,461827
2020-11-26,6204220,171460,5556887,475873
2020-11-27,6238350,171974,5581436,484940
2020-11-28,6290272,172561,5581436,536275
2020-11-29,6314740,172833,5581436,560471
2020-11-30,6335878,173120,5597802,564956
2020-12-01,6386787,173817,5712305,500665
2020-12-02,6436650,174515,5759294,502841
2020-12-03,6487084,175270,5792539,519275
2020-12-04,6533968,175964,5825745,532259
2020-12-05,6577177,176628,5864838,535711
2020-12-06,6603540,176941,5866657,559942
2020-12-07,6623911,177317,5897526,549068
2020-12-08,6674999,178159,5965492,531348
2020-12-09,6728452,178995,5966118,583339
2020-12-10,6781799,179765,6043219,558815
2020-12-11,6836227,180437,6078287,577503
2020-12-12,6880127,181123,6078287,620717
2020-12-13,6901952,181402,6138349,582201
2020-12-14,6927145,181835,6158049,587261
2020-12-15,6970034,182799,6206483,580752
2020-12-16,7040608,183735,6239192,617681
2020-12-17,7110434,184827,6301547,624060
2020-12-18,7162978,185650,6322955,654373
2020-12-19,7213155,186356,6388938,637861
2020-12-20,7238600,186764,6408517,643319
2020-12-21,7263619,187291,6469310,607018
2020-12-22,7318821,188259,6501341,629221
2020-12-23,7365517,189220,6512717,663580
2020-12-24,7423945,189982,6512717,721246
2020-12-25,7448560,190488,6512717,745355
2020-12-26,7465806,190795,6654189,620822
2020-12-27,7484285,191139,6677235,615911
2020-12-28,7504833,191570,6712757,600506
2020-12-29,7563551,192681,6754111,616759
2020-12-30,7619200,193875,6814092,611233
2020-12-31,7675973,194949,6848844,632180
2021-01-01,7700578,195411,6855372,649795
2021-01-02,7716405,195725,6893256,627424
2021-01-03,7733746,196018,6904172,633556
2021-01-04,7753752,196561,6950045,607146
2021-01-05,7810400,197732,6994845,617823
2021-01-06,7873830,198974,7033286,641570
2021-01-07,7961673,200498,7081521,679654
2021-01-08,8013708,201460,7136817,675431
2021-01-09,8075998,202631,7205410,667957
2021-01-10,8105790,203100,7231336,671354
2021-01-11,8131612,203580,7273237,654795
2021-01-12,8195637,204690,7284945,706002
2021-01-13,8256536,205964,7347080,703492
2021-01-14,8324294,207095,7394739,722460
2021-01-15,8393492,208246,7438075,747171
2021-01-16,8455059,209296,7485823,759940
2021-01-17,8488099,209847,7509009,769243
2021-01-18,8511770,210299,7560460,741011
2021-01-19,8573864,211491,7618080,744293
2021-01-20,8638249,212831,7618080,807338
2021-01-21,8697368,214147,7673092,810129
2021-01-22,8753920,215243,7746910,791767
2021-01-23,8816254,216445,7775928,823881
2021-01-24,8844577,217037,7821376,806164
2021-01-25,8871393,217664,7864969,788760
2021-01-26,8933356,218878,7896290,818188
2021-01-27,8996876,220161,7964176,812539
2021-01-28,9058687,221547,7979513,857627
2021-01-29,9118513,222666,8066603,829244
2021-01-30,9176975,223945,8148671,804359
2021-01-31,9204731,224504,8176373,803854
2021-02-01,9229322,225099,8202354,801869
2021-02-02,9283418,226309,8258074,799035
2021-02-03,9339420,227563,8311881,799976
2021-02-04,9396293,228795,8366197,801301
2021-02-05,9447165,230034,8396148,820983
2021-02-06,9447165,230034,8428992,788139
2021-02-07,9524640,231534,8467982,825124
2021-02-08,9524640,231534,8478818,814288
2021-02-09,9599565,233520,8577207,788838
2021-02-10,9659167,234850,8616282,808035
2021-02-11,9713909,236201,8637050,840658
2021-02-12,9765455,237489,8691664,836302
2021-02-13,9809754,238532,8740445,830777
2021-02-14,9834513,239245,8765048,830220
2021-02-15,9866710,239773,8821887,805050
2021-02-16,9921981,240940,8847264,833777
2021-02-17,9978747,242090,8933402,803255
2021-02-18,10030626,243457,8960755,826414
2021-02-19,10084208,244737,8988618,850853
2021-02-20,10139148,245977,9070505,822666
2021-02-21,10168174,246504,9095692,825978
2021-02-22,10195160,247143,9108205,839812
2021-02-23,10257875,248529,9189903,819443
2021-02-24,10324463,249957,9214337,860169
2021-02-25,10390461,251498,9264696,874267
2021-02-26,10455630,252835,9309568,893227
2021-02-27,10517232,254221,9371448,891563
2021-02-28,10551259,254942,9382316,914001
2021-03-01,10587001,255720,9437611,893670
2021-03-02,10646926,257361,9506251,883314
2021-03-03,10718630,259271,9548315,911044
2021-03-04,10793732,260970,9605870,926892
2021-03-05,10869227,262770,9647550,958907
2021-03-06,10938836,264325,9686024,988487
2021-03-07,11019344,265411,9739464,10753933
2021-03-08,11051665,266398,9826292,958975
2021-03-09,11122429,268370,9878566,975493
2021-03-10,11202305,270656,9921994,1009655
2021-03-11,11277717,272889,9983656,1021172
2021-03-12,11363380,275105,10041024,1047251
2021-03-13,11439558,277102,10084820,1077636
2021-03-14,11483370,278229,10113487,1091654
2021-03-15,11519609,279286,10195598,1044725
2021-03-16,11603535,282127,10261154,1060254
2021-03-17,11693838,284775,10326375,1082688
2021-03-18,11780820,287499,10383496,1109825
2021-03-19,11871390,290314,10435864,1145212
2021-03-20,11950459,292752,10476123,1181584
2021-03-21,11998233,294042,10509457,1194734
2021-03-22,12047526,295425,10611595,1140506
2021-03-23,12130019,298676,10665161,1166182
2021-03-24,12220011,300685,10750131,1169195
2021-03-25,12320169,303462,10808499,1208208
2021-03-26,12404414,307112,10886792,1210510
2021-03-27,12490362,310550,10948382,1231430
2021-03-28,12534688,312206,11004281,1218201
2021-03-29,12573615,313866,11022192,1237557
2021-03-30,12658109,317646,11085369,1255094
2021-03-31,12748747,321515,11181371,1245861
2021-04-01,12839844,325284,11240213,1274347
2021-04-02,12910082,328206,11277632,1304244
2021-04-03,12953597,330193,11327510,1295894
2021-04-04,12984956,331433,11343607,1309916
2021-04-05,13013601,332752,11405558,1275291
2021-04-06,13100580,336947,11459548,1304085
2021-04-07,13193205,340776,11592159,1260270
2021-04-08,13279857,345025,11668734,1266098
2021-04-09,13373174,348718,11722181,1302275
2021-04-10,13445006,351334,11739649,1354023
2021-04-11,13482023,353137,11878958,1249928
2021-04-12,13517808,354617,11892229,1270962
2021-04-13,13599994,358425,11975121,1266448
2021-04-14,13673507,361884,12033880,1277743
2021-04-15,13746681,365444,12084851,1296386
2021-04-16,13832455,368749,12163831,1299875
2021-04-17,13900091,371678,12212890,1315523
2021-04-18,13943071,373335,12303538,1266198
2021-04-19,13973695,374682,12346828,1252185
2021-04-20,14043076,378003,12425791,1239282
2021-04-21,14122795,381475,12436210,1305110
2021-04-22,14167973,383502,12530970,1253501
2021-04-23,14237078,386416,12586272,1264390
2021-04-24,14308215,389492,12606011,1312712
2021-04-25,14340787,390797,12614559,1335431
2021-04-26,14369423,391936,12707500,1269987
2021-04-27,14441563,395022,12815119,1231422
2021-04-28,14521289,398185,12849663,1273441
2021-04-29,14590678,401186,12942081,1247411
2021-04-30,14659011,403781,12991951,1263279
2021-05-01,14725975,406437,13023892,1295646
2021-05-02,14754910,407639,13083550,1263721
2021-05-03,14779529,408622,13135143,1235764
2021-05-04,14856888,411588,13170561,1274739
2021-05-05,14930183,414399,13254660,1261124
2021-05-06,15003563,416949,13285589,1301025
2021-05-07,15082449,419114,13400075,1263260
2021-05-08,15145879,421316,13422047,1302516
2021-05-09,15184790,422340,13457400,1305050
2021-05-10,15209990,423229,13481062,1305699
2021-05-11,15282705,425540,13592463,1264702
2021-05-12,15359397,428034,13622419,1308944
2021-05-13,15433989,430417,13662690,1340882
2021-05-14,15519525,432628,13703280,1383617
2021-05-15,15586534,434715,13710822,1440997
2021-05-16,15627243,435751,13764520,1426972
2021-05-17,15657391,436537,13856731,1364123
2021-05-18,15732836,439050,13957814,1335972
2021-05-19,15812055,441691,14043766,1326598
2021-05-20,15894094,444094,14080089,1369911
2021-05-21,15970949,446309,14103800,1420840
2021-05-22,16047439,448208,14132443,1466788
2021-05-23,16083258,449068,14132443,1501747
2021-05-24,16120756,449858,14190644,1480254
2021-05-25,16194209,452031,14231991,1510187
2021-05-26,16274695,454429,14272174,1548092
2021-05-27,16342162,456674,14455810,1429678
2021-05-28,16391930,459045,14492701,1440184
2021-05-29,16471600,461057,14496224,1514319
2021-05-30,16515120,461931,14540507,1512682
2021-05-31,16545554,462791,14586009,1496754
2021-06-01,16624480,465199,14694950,1464331
2021-06-02,16720081,467706,14763694,1488681
2021-06-03,16803472,469388,14763694,1570390
2021-06-04,16841408,470842,14868994,1501572
2021-06-05,16907425,472531,14944069,1490825
2021-06-06,16947062,473404,15000718,1472940
2021-06-07,16984218,474414,15019797,1490007
2021-06-08,17037129,476792,15055747,1504590
2021-06-09,17122877,479515,15154101,1489261
2021-06-10,17210969,482019,15211176,1517774
2021-06-11,17296118,484235,15260459,1551424
2021-06-12,17374818,486272,15271120,1617426
2021-06-13,17412766,487401,15400169,1525196
2021-06-14,17452612,488228,15421397,1542987
2021-06-15,17533221,490696,15519955,1522570
2021-06-16,17628588,493693,15569556,1565339
2021-06-17,17702630,496004,15660614,1546012
2021-06-18,17801462,498499,15687189,1615774
2021-06-19,17883750,500800,15745463,1637487
2021-06-20,17927928,501825,15745463,1680640
2021-06-21,17966831,502586,15819764,1644481
2021-06-22,18054653,504717,15862096,1687840
2021-06-23,18169881,507109,16008271,1654501
2021-06-24,18243483,509141,16038230,1696112
2021-06-25,18322760,511142,16097711,1713907
2021-06-26,18386894,512735,16146608,1727551
2021-06-27,18420598,513474,16160826,1746298
2021-06-28,18448402,514092,16240380,1693930
2021-06-29,18513305,515985,16277785,1719535
2021-06-30,18557141,518066,16299258,1739817
2021-07-01,18622304,520095,16477253,1624956
2021-07-02,18687469,521952,16509821,1655696
2021-07-03,18742025,523587,16524100,1694338
2021-07-04,18769808,524417,16582483,1662908
2021-07-05,18792511,525112,16675561,1591838
2021-07-06,18855015,526892,16740136,1587987
2021-07-07,18909037,528540,16763522,1616975
2021-07-08,18962762,530179,16796161,1636422
